Time	Conc
1800	0
2193	0
2193.042	0.000155
2193.083	0.00039
2193.125	0.000833
2193.167	0.00104
2193.208	0.000867
2193.25	0.000798
2193.292	0.00084
2193.333	0.000938
2193.375	0.00108
2193.417	0.00124
2193.458	0.00141
2193.5	0.00156
2193.542	0.0017
2193.583	0.00182
2193.625	0.00192
2193.667	0.00201
2193.708	0.00208
2193.75	0.00214
2193.792	0.00219
2193.833	0.00224
2193.875	0.00228
2193.917	0.00232
2193.958	0.00236
2194	0.00239
2194.042	0.00242
2194.083	0.00246
2194.125	0.00249
2194.167	0.00251
2194.208	0.00254
2194.25	0.00257
2194.292	0.00259
2194.333	0.00262
2194.375	0.00264
2194.417	0.00266
2194.458	0.00268
2194.5	0.0027
2194.542	0.00272
2194.583	0.00274
2194.625	0.00276
2194.667	0.00278
2194.708	0.00279
2194.75	0.00281
2194.792	0.00283
2194.833	0.00284
2194.875	0.00286
2194.917	0.00287
2194.958	0.00289
2195	0.0029
2195.042	0.00292
2195.083	0.00293
2195.125	0.00294
2195.167	0.00296
2195.208	0.00297
2195.25	0.00298
2195.292	0.003
2195.333	0.00301
2195.375	0.00302
2195.417	0.00304
2195.458	0.00305
2195.5	0.00306
2195.542	0.00307
2195.583	0.00308
2195.625	0.0031
2195.667	0.00311
2195.708	0.00312
2195.75	0.00313
2195.792	0.00314
2195.833	0.00315
2195.875	0.00316
2195.917	0.00318
2195.958	0.00319
2196	0.0032
2196.042	0.00321
2196.083	0.00319
2196.125	0.00269
2196.167	0.00172
2196.208	0.0012
2196.25	0.00118
2196.292	0.0013
2196.333	0.00148
2196.375	0.00165
2196.417	0.00182
2196.458	0.00196
2196.5	0.00208
2196.542	0.00218
2196.583	0.00227
2196.625	0.00234
2196.667	0.0024
2196.708	0.00246
2196.75	0.0025
2196.792	0.00254
2196.833	0.00258
2196.875	0.00262
2196.917	0.00265
2196.958	0.00269
2197	0.00271
2197.042	0.00274
2197.083	0.00277
2197.125	0.00279
2197.167	0.00282
2197.208	0.00284
2197.25	0.00286
2197.292	0.00288
2197.333	0.0029
2197.375	0.00292
2197.417	0.00293
2197.458	0.00295
2197.5	0.00297
2197.542	0.00298
2197.583	0.003
2197.625	0.00302
2197.667	0.00303
2197.708	0.00304
2197.75	0.00306
2197.792	0.00307
2197.833	0.00308
2197.875	0.0031
2197.917	0.00311
2197.958	0.00312
2198	0.00313
2198.042	0.00315
2198.083	0.00316
2198.125	0.00317
2198.167	0.00318
2198.208	0.00319
2198.25	0.0032
2198.292	0.00321
2198.333	0.00322
2198.375	0.00323
2198.417	0.00324
2198.458	0.00325
